Project Description,Location,Contractor,Cost,Completion Date
"Construction of Drainage Structure, Camia Street, Barangay Dadiangas East, General Santos City",SOUTH COTABATO,BAYTORR CONSTRUCTION AND DEVELOPMENT CORPORATION,"4,939,993.97",5/12/2025
"Construction of Flood Mitigation Structure, barangay Paradise (Phase 2), Cabanglasan, Bukidnon",BUKIDNON,ROSBILL CONSTRUCTION AND SUPPLY,"96,500,000.00",5/9/2025
"Construction of Flood Control Structure, Brgy. Dianed, Dipaculao, Aurora",AURORA,ALEXI LOUISSE CONSTRUCTION & GENERAL MERCHANDISE,"47,338,372.71",5/8/2025
"Construction of Booster Pumping Station Along Estero de Tripa de Gallina Along Pedro Gil Street Barangay 869, Manila City, Phase II",CITY OF MANILA,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JCA CONSTRUCTION AND CONSTRUCTION SUPPLY,"137,222,334.81",5/6/2025
"Construction of Bank Revetment along Bislig River (Pamanlinan Section), Bislig City, Surigao del Sur",SURIGAO DEL SUR,ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.),"96,499,134.76",5/2/2025
"Construction of Flood Control Structure Along Mogpog River, Brgy. Magapua, Mogpog, Marinduque",MARINDUQUE,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","96,495,098.79",5/1/2025
"Construction of Flood Control Structure, Barangay Punta Flecha, Pitogo, Zamboanga del Sur",ZAMBOANGA DEL SUR,ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION,"14,679,957.15",04/29/2025
"Construction of Flood Control Structure, Barangay Colojo, Pitogo, Zamboanga del Sur",ZAMBOANGA DEL SUR,ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION,"14,679,922.81",04/29/2025
"Construction of River Dike at Lunao Bridge (Abutment A and B), Gingoog City, Misamis Oriental",MISAMIS ORIENTAL,RITCHE-NATHALIE DEVELOPMENT CORPORATION (FORMERLY: RITCHE-NATHALIE BUILDERS AND GEN. MERCHANDISE),"96,500,000.00",04/28/2025
"Construction of Slope Protection, Cagayan de Oro Convention Center, Indahag, Cagayan de Oro City (Phase 1)",MISAMIS ORIENTAL,JEJOR'S CONSTRUCTION CORPORATION,"60,252,341.13",04/28/2025
"Construction of Flood Control Structure along Butuanon River (Downstream) Outfall, Barangay Pakna-an, Mandaue City, Cebu",CEBU,ON POINT CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY:ON POINT CONSTRUCTION),"72,325,000.00",04/28/2025
"Construction of Ala RIS Protection Works, Sto. Niño, South Cotabato",SOUTH COTABATO,MFN BUILDERS,"14,689,979.39",04/25/2025
"Construction of Concrete Revetment along Silway River, Barangay Apopong, General Santos City",SOUTH COTABATO,J.G. ORANZA CONSTRUCTION,"96,400,433.63",04/25/2025
"Construction of Alua Slope Protection Structure along Pampanga River, Barangay Alua, Phase 2, San Isidro, Nueva Ecija",NUEVA ECIJA,"R.A. PAHATI CONST. & SUPPLY, INC.","48,754,753.43",04/25/2025
"Rehabilitation of River Bank Structure along Pampanga River, Barangay San Pablo, Jaen, Nueva Ecija",NUEVA ECIJA,NUEDA BUILDERS CONSTRUCTION & SUPPLY INC.,"96,013,671.84",04/24/2025
"Construction of Flood Mitigation Structure along Peñaranda River, Barangay Malapit, San Isidro, Nueva Ecija",NUEVA ECIJA,F-DEY CONSTRUCTION AND TRADING,"96,017,500.53",04/24/2025
"Construction of Drainage Structure, Barangay Victoria, Tago, Surigao del Sur",SURIGAO DEL SUR,CRJ CONST AND DEVELOPMENT INC,"4,934,983.08",04/23/2025
"Construction of Flood Control Structure, Amio River (Downstream), Package 1, Santa Catalina, Negros Oriental",NEGROS ORIENTAL,MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,"48,852,510.00",04/22/2025
"Construction of Flood Mitigation Structure along Estero de Sunog Apog, Barangay 172, Manila City",CITY OF MANILA,XIEH CONSTRUCTION,"14,552,258.16",04/21/2025
"Construction of Flood Control Structure Along Tawiran River, Sta. Cruz, Marinduque",DAVAO DEL SUR,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","96,495,228.29",04/20/2025
"Installation of Booster Pump (Accessories) along Estero dela Reina, Manila City (Phase II)",CITY OF MANILA,A.M. SALONG CONSTRUCTION,"37,962,740.47",04/20/2025
"Construction of Flood Control Structure along Inerangan River, Segment 14, Ramos, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,"70,167,867.76",04/18/2025
"Rehabilitation of Sabo Dam at Camangaan West CIS, Moncada, Tarlac",TARLAC,RD8 BUILDERS CORPORATION UNDER THE NAME OF RD8 BUILDERS,"14,700,000.00",04/16/2025
"Construction of Flood Control Structures along Susubaen Creek (Segment 41), Ramos, Tarlac",TARLAC,GJE BUILDERS CORPORATION (FORMERLY: GJE BUILDERS),"47,496,290.56",04/16/2025
"Construction of Itum River Control, Itum, Duero, Bohol",BOHOL,LEDA CONSTRUCTION INCORPORATED,"96,019,080.53",04/15/2025
"Construction of Ubay Flood Control Structure, Barangay Bongbong-Barangay San Pascual, Ubay, Bohol",BOHOL,ZLREJ TRADING AND CONSTRUCTION CORPORATION,"39,565,619.24",04/15/2025
"Construction of Bucayao River Control at Camansihan Section, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,MINDALIFI CONSTRUCTION AND SUPPLY,"48,999,976.56",04/14/2025
"Construction of Flood Control Structure along Puerto Creek, Package 1, Cagayan de Oro City",MISAMIS ORIENTAL,OLISON CORPORATION / MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,"110,634,633.37",4/12/2025
"Rehabilitation of Ibayo-Saluysoy Pumping Stations including Flood Gate, Meycauayan City, Bulacan",BULACAN,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),"48,249,942.61",4/11/2025
"Construction of Flood Control and Drainage Structures (FCDS- Package 3) along Magat River, Baretbet Section, Bagabag, Nueva Viscaya",NUEVA VIZCAYA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"144,750,000.00",4/11/2025
"Construction of Flood Mitigation Structure, barangay Poblacion (Phase 2), Impasug-ong, Bukidnon",BUKIDNON,ROSBILL CONSTRUCTION AND SUPPLY,"96,500,000.00",4/10/2025
"Construction of Flood Control along Mananga River (Right Side) at Sitio Tigib, Barangay Lagtang, Talisay City, Cebu (Package 2)",CEBU,QM BUILDERS,"144,750,000.00",4/10/2025
"Construction of Viga Flood Control Structure, Antequera, Bohol",BOHOL,"N.N. YU CONSTRUCTION, INC. (FORMERLY: YU CONSTRUCTION)","67,500,000.00",4/10/2025
"Construction of Flood Control and Drainage Structures (FCDS- Package 8) along Magat River, Baretbet Section, Bagabag, Nueva Viscaya",NUEVA VIZCAYA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"144,750,000.00",4/10/2025
"Construction of Tambak Uno Pumping Station, Barangay Tanza 2, Navotas City",NAVOTAS CITY,721 BUILDERS CORPORATION,"29,399,282.43",4/8/2025
"Construction of Flood Control Structure, Sitio Ponod to Sitio Sarangani, Brgy. Poblacion, Candijay, Bohol",BOHOL,ZLREJ TRADING AND CONSTRUCTION CORPORATION,"96,399,998.65",4/7/2025
"Construction of Slope Protection Structure, Calinat Dam at PRIS SDC, Science City of Muñoz, Nueva Ecija",NUEVA ECIJA,IJK MAE CONSTRUCTION INC.,"9,701,851.92",4/7/2025
"Bank Improvement along Sta. Maria River and Tributaries, Sta. 08+900 - Sta. 09+304 (San Jose Patag-Pulong Buhangin Section), Sta. Maria, Bulacan",BULACAN,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J","98,912,408.09",4/6/2025
"Bank Improvement along Sta. Maria River and Tributaries, Sta. 09+304 - Sta. 09+708 (San Jose Patag-Pulong Buhangin Section), Sta. Maria, Bulacan",BULACAN,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J","98,916,463.13",4/6/2025
"Construction of Puerto Galera Urban Drainage System, Brgy. San Isidro, Oriental Mindoro",ORIENTAL MINDORO,L.N. SALVADOR CONSTRUCTION CORP. (FOR: L.N. SALVADOR CONSTRUCTION),"53,074,970.85",4/2/2025
"Construction of River Protection Structure at Cabuyao River, near Malitlit-Eton Access Road, Cabuyao City, Laguna",LAGUNA,POWER K CONSTRUCTION SUPPLY & SERVICES / EOZ CONSTRUCTION,"85,373,200.00",4/2/2025
"Upgrading of Lerma Pumping Station, Manila City",CITY OF MANILA,JJPR CONSTRUCTION SERVICES,"47,318,052.55",4/2/2025
"Upgrading of Recto Pumping Station, Manila City",CITY OF MANILA,JJPR CONSTRUCTION SERVICES,"47,322,508.07",4/2/2025
"Construction of Bank Revetment along Bislig River (Burboanan Section), Bislig City, Surigao del Sur",SURIGAO DEL SUR,ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.),"96,499,535.19",03/31/2025
"Construction of Flood Control Structure (Roa Crusher) Upper Balulang Section 3, Cagayan de Oro City",MISAMIS ORIENTAL,TRIPARCO DEVELOPMENT CORPORATION,"86,096,230.70",03/31/2025
"Construction of Flood Control System with Groundsill Package 1 at Baranagy Lamon, Goa, Cam Sur",CAMARINES SUR,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","120,625,000.00",03/31/2025
"Construction of Drainage System along Barangay 61, Caloocan City",CALOOCAN CITY,DMLC BUILDERS,"23,958,667.09",03/31/2025
"Construction of Flood Control Structure along Saguiaran River, Kalilangan, Bukidnon, Package 4",BUKIDNON,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,"77,200,000.00",03/30/2025
"Rehabilitation of Spillway, Minsubong, Tangub City, Misamis Occidental",MISAMIS OCCIDENTAL,ABIB BUILDERS ENTERPRISE,"4,752,999.94",03/28/2025
"Construction of Shore Line Protection, Barangay Southern Looc, Plaridel, Misamis Occidental",MISAMIS OCCIDENTAL,ANIMAS BROS CONSTRUCTION CORPORATION (FORMERLY: ANIMAS BROS CONSTRUCTION),"86,849,960.44",03/28/2025
"Construction of Revetment along Bantac River Sta. 0+490 - Sta. 1+290 R/S, Barangay Bantac, Magpet, Cotabato",COTABATO (NORTH COTABATO),JARGON CONSTRUCTION & SUPPLY,"49,000,000.00",03/25/2025
"Construction of Flood Control Structure (Downstream of Cabulawan Bridge), Lagonglong, Misamis Oriental",MISAMIS ORIENTAL,JEJOR'S CONSTRUCTION CORPORATION,"49,000,000.00",03/25/2025
"Construction of Flood Mitigation Structure in Barangay Laguitas, Malaybalay City, Bukidnon",BUKIDNON,"JT GAMOLO CONSTRUCTION, INCORPORATION (FORMERLY:J.T. GAMOLO CONSTRUCTION)","141,855,000.00",03/25/2025
"Construction of Flood Mitigation Structure in Barangay Magkalungay, San Fernando, Bukidnon",BUKIDNON,"JT GAMOLO CONSTRUCTION, INCORPORATION (FORMERLY:J.T. GAMOLO CONSTRUCTION)","144,750,000.00",03/25/2025
"Construction of San Jacinto Shore Protection Structure, Sitio Cagas, Barangay Calipat-an, San Jacinto, Masbate",MASBATE,A3 CONSTRUCTION & SUPPLY / EJ CANTORIA CONSTRUCTION & SUPPLY,"63,156,272.13",03/25/2025
"Construction of Flood Mitigation Structure along Pampanga River, Barangay Calaba, San Isidro, Nueva Ecija",NUEVA ECIJA,TRIPLE S BUILDERS INC.,"34,128,123.18",03/25/2025
"Construction of Flood Control Structure along Cagayan River, Barangay Calaccab, Angadanan, Isabela",ISABELA,"INFINITUM 888 CONSTRUCTION AND DEVELOPMENT CORPORATION / ALGO CONSTRUCTION AND POWER DEVELOPMENT, INC.","77,163,172.60",03/25/2025
"Construction of Flood Control Structure Along Tipo River, Buenavista, Marinduque",GUIMARAS,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","96,495,777.91",03/24/2025
"Construction of Dumacaa River Flood Control Structure (Package 22), Lucena City, Quezon",QUEZON,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,"96,500,000.00",03/24/2025
"Construction of Concrete Revetment, Downstream of Sinawal Bridge, Sinawal River, Barangay Labangal, General Santos City",SOUTH COTABATO,J.G. ORANZA CONSTRUCTION,"120,624,229.69",03/21/2025
"Construction of Flood Control along Daisug River,Lopez Jaena, Misamis Occidental",MISAMIS OCCIDENTAL,MINDANAO ROCK,"37,239,990.16",03/21/2025
"Construction of Flood Mitigation Structure along Impasug-ong Bridge (Right Side), Impasug-ong, Bukidnon",BUKIDNON,ROSBILL CONSTRUCTION AND SUPPLY,"96,500,000.00",03/21/2025
"Construction of Slope Protection Structure for Cagayan River Basin, Magat River, Aplat Section, Package 2, Aurora, Isabela",ISABELA,JWU CONSTRUCTION AND SUPPLY,"144,740,047.39",03/21/2025
"Reconstruction/Rehabilitation of Drainage System Dapa, Surigao Del Norte",SURIGAO DEL NORTE,BOOMETRIX DEVELOPMENT CORP.,"67,049,933.50",03/20/2025
"Construction of Revetment along Mabato River Sta. 2+800 - Sta. 3+110 L/S (Junction with Overflow bridge), Barangay Bantac, Magpet, Cotabato",COTABATO (NORTH COTABATO),JARGON CONSTRUCTION & SUPPLY,"49,000,000.00",03/20/2025
"Construction of Flood Control Structure along Orel Creek, Barangay Banilad, Mandaue City",CEBU,ZLREJ TRADING AND CONSTRUCTION CORPORATION,"67,450,000.00",03/20/2025
"Construction of Revetment along Marbol River (Phase II) Barangay New Cebu, Pres. Roxas, Cotabato",COTABATO (NORTH COTABATO),MARCUS CONSTRUCTION & SUPPLY,"96,493,871.31",03/19/2025
"Construction of Flood Control Structure along Masalasa Creek (Segment 52), Tarlac City, Tarlac",TARLAC,WHITE OAK CONSTRUCTION & DEVELOPMENT CORP.,"24,125,000.00",03/19/2025
"Construction of Flood Mitigation Structure, Barangay Quinyangan Diotay, Balud, Masbate",MASBATE,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION / 3R3M CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY: 3R3M CONSTRUCTION AND SUPPLY),"62,724,959.24",03/17/2025
"Construction of Flood Control Structure, Brgy. Diteki, San Luis, Aurora",AURORA,GERRA CONSTRUCTION INCORPORATED (FORMERLY: GERRA CONSTRUCTION),"49,500,000.00",03/17/2025
"Construction of Flood Control Structure along Aringay River Basin, Tubao, La Union (Package 8)",LA UNION,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,"48,926,107.83",03/17/2025
"Construction of Retarding Basin at Estero dela Reina (Phase XXI), Tondo, Manila City",CITY OF MANILA,G.F. FABIAN CONSTRUCTION / F316 CONSTRUCTION CORP.,"96,349,103.73",03/17/2025
"Construction of Ablola Pumping Station, Barangay Tangos North, Navotas City",NAVOTAS CITY,ST. TIMOTHY CONSTRUCTION CORPORATION,"48,999,201.71",03/17/2025
"Construction of Flood Control Structure along Aringay River Basin, Brgy. Magsaysay, Tubao, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"19,284,998.86",03/16/2025
"Construction of Flood Control Structures along Bauang River Basin, Sto Tomas, La Union",LA UNION,HIGH ROCK CONSTRUCTION AND SUPPLIES INCORPORATED / JHI CONSTRUCTION & SUPPLY,"96,494,448.46",03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 9), Naguilian, La Union",LA UNION,UNIMAX STEEL STRUCTURE AND CONSTRUCTION CORP.,"94,560,757.31",03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 10), Naguilian, La Union",LA UNION,UNIMAX STEEL STRUCTURE AND CONSTRUCTION CORP.,"82,403,230.11",03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 4), Naguilian, La Union",LA UNION,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,"94,560,128.59",03/16/2025
"Construction of Flood Control Structures along Aringay River Basin, Brgy. Sta. Lucia, Aringay, La Union",LA UNION,KRYPTONITE 6S BUILDERS INC.,"19,224,221.54",03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 7), Naguilian, La Union",LA UNION,UNIMAX STEEL STRUCTURE AND CONSTRUCTION CORP.,"94,560,506.31",03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 4), Naguilian, La Union",LA UNION,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,"94,560,128.59",03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 10), Naguilian, La Union",LA UNION,UNIMAX STEEL STRUCTURE AND CONSTRUCTION CORP.,"82,403,230.11",03/16/2025
"Construction of Flood Control Structure along Aringay River Basin Barangay Halog East, Tubao, La Union (Package 7)",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"19,284,998.86",03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 6), Bauang, La Union",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,"89,737,362.73",03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 7), Bauang, La Union",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,"89,737,260.38",03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 4), Bauang, La Union",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,"89,736,445.72",03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 3), Bauang, La Union",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,"89,736,907.75",03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 5), Bauang, La Union",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,"89,736,347.57",03/16/2025
"Construction of Flood Control Structures along Bauang River Basin, Burgos, La Union",LA UNION,ANORE CONSTRUCTION,"96,489,333.05",03/16/2025
"Construction of Shore Protection Works, Barangay Urayong, Bauang, La Union",LA UNION,ANORE CONSTRUCTION,"96,493,843.08",03/16/2025
"Construction of Flood Control Structure along Aringay River Basin, Brgy. Halong West, Tubao, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"29,693,452.57",03/16/2025
"Construction of Flood Control Structures along Bauang River Basin, Bagulin, La Union",LA UNION,ANORE CONSTRUCTION,"96,403,190.33",03/16/2025
"Construction of Flood Control Structure along Bauang River Basin, Barangay Acao, Bauang, La Union",LA UNION,PANGASINAN NEW WILSON LUMBER & CONSTRUCTION SUPPLY,"28,946,444.57",03/16/2025
"Construction of Flood Control Structure, Barangay Liquicia, Caba, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"48,995,000.01",03/16/2025
"Construction of Flood Control Structure along Aringay River Basin, Brgy. Lloren, Tubao, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"29,693,483.68",03/16/2025
"Construction of Flood Control Structure along Aringay River Basin, Barangay Sta. Teresa, Tubao, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"48,987,820.45",03/16/2025
"Construction of Flood Control Structure, Barangay San Fermin, Caba, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"48,995,000.00",03/16/2025
"Construction of Flood Control Structure, Aringay River Basin, Brgy. Magsaysay, Tubao, La Union (Package 4)",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,"29,694,079.43",03/16/2025
"Construction of Flood Control Structure along Aringay River Basin, Barangay Pideg, Tubao, La Union",LA UNION,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,"48,938,884.30",03/16/2025
"Rehabilitation of Flood Control Structure along Gantay River at Barangay Salincob, Bacnotan, La Union",LA UNION,MY BUILDERS AND CONSTRUCTION,"96,499,911.45",03/14/2025
"Construction of Flood Control Structure of Imbang River (Upstream), Silay City, Negros Occidental",NEGROS OCCIDENTAL,SILVERGRACES CONSTRUCTION AND CONSTRUCTION SUPPLY,"96,499,999.99",3/12/2025
"Installation of Pump Accessories along Estero de Magdalena, Tondo, Manila City",CITY OF MANILA,GOLDEN J'S CONSTRUCTION SERVICES,"48,015,187.82",3/12/2025
"Construction of Flood Control Structure along Marikina River, Barangay Bagong Silangan, Quezon City",QUEZON CITY,DIADEMA CONSTRUCTION AND ENTERPRISES INC. (FORMERLY: DIADEMA ENTERPRISES) / AF3 CONSTRUCTION CORPORATION,"95,341,600.18",3/11/2025
"Construction of Flood Control Structure along Cotcot River, Upstream, Liloan, Cebu",CEBU,"MC GEOMETRIC PROPORTIONS, INC. / ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.","149,847,604.36",3/10/2025
"Construction of Flood Control Structure, Barangay Natividad, Barotac Viejo, Iloilo",ILOILO,PANAY EAST COAST CONSTRUCTION & SUPPLY,"44,100,000.00",3/10/2025
"Construction of Revetment along Bacoor River, Brgy. Molino IV (Duplex Homes), Bacoor City, Cavite",CAVITE,ALMAKAR BUILDERS & METAL WORKS,"96,499,777.70",3/10/2025
"Construction of Revetment along Bacoor River, Phase II, Brgy. Habay I and Brgy. Panapaan IV, Bacoor City, Cavite",CAVITE,GRAIA CONSTRUCTION CORPORATION,"96,097,340.67",3/10/2025
"Construction of Revetment along Carmona River (Upstream), Brgy. Milagrosa, Carmona, Cavite (Phase 1)",CAVITE,OMNICON BUILDERS,"69,298,609.16",3/10/2025
"Construction of Flood Control Structure along Tago River, Brgy. Libas Gua, San Miguel, Surigao del Sur",SURIGAO DEL SUR,LCTING CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: L.C. TING CONSTRUCTION),"48,999,999.94",3/9/2025
"Construction of Flood Control Structure along Romelo River, Siniloan, Laguna",LAGUNA,POWER K CONSTRUCTION SUPPLY & SERVICES,"96,499,568.47",3/7/2025
"Construction of Seawall Protection, Garcia-Hernandez, Bohol",BOHOL,"MOG CONSTRUCTION INC. / N.N. YU CONSTRUCTION, INC. (FORMERLY: YU CONSTRUCTION)","57,877,936.00",3/6/2025
"Construction of Flood Control Structure along Cagayan River, Barangays PISBAKAL, Angadanan, Isabela",ISABELA,INFINITI CONSTRUCTION AND DEVELOPMENT CORPORATION,"77,157,107.50",3/6/2025
"Construction of Flood Control Structure along Mallig River, Brgy. Rang-Ayan Section, Mallig, Isabela",ISABELA,MAR-DEB CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY: MAR-DEB CONSTRUCTION & DEVELOPMENT),"49,475,272.59",3/6/2025
"Construction of Manaba River Control, Garcia-Hernandez (Tabuan Section), Bohol, Sta. 0+000.00 - Sta. 0+450.00",BOHOL,MUANA CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY,"98,944,930.25",3/5/2025
"Construction of Revetment Wall (Pampanga Delta Development Project), Barangay Capalangan, Phase II, Apalit, Pampanga",PAMPANGA,EDDMARI CONSTRUCTION & TRADING,"74,883,912.45",3/5/2025
"Construction of Pinto Flood Control, Sta. 32+000 - Sta. 33+550 (RS), Pinto, Alfonso Lista, Ifugao",IFUGAO,DJY CONSTRUCTION,"96,500,000.00",3/5/2025
"Construction of Paniqui Drainage System, Paniqui, Tarlac",TARLAC,R.R. RICAFORT CONSTRUCTION AND SUPPLIES,"144,750,000.00",3/4/2025
"Construction of Riverbank Protection (Phase I), Datu Piang, Maguindanao",MAGUINDANAO DEL SUR,ED1SON DEVELOPMENT & CONSTRUCTION INC. / H-ROYAL CONSTRUCTION,"47,283,436.87",3/3/2025
